idx, lp_name, lp_address, token0, token0_name, token1, token1_name, alloc 
0,WAULT_W,0xB4f5c8ACDB02584b350161fc8804feFF2c706968,,W,,,225
1,WAULT_WEXpoly,0x4c4BF319237D98a30A929A96112EfFa8DA3510EB,,WEXpoly,,,70
2,WAULT_WMATIC_WEXpoly,0xC46991072C7eAC184F7bd69d3122cd1750300b27,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,WMATIC,0x4c4BF319237D98a30A929A96112EfFa8DA3510EB,WEXpoly,470
3,WAULT_USDC_WEXpoly,0x5DE6a3CcA10d3F788EEdbD4923e31D4658bf6f9a,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,0x4c4BF319237D98a30A929A96112EfFa8DA3510EB,WEXpoly,95
4,WAULT_WMATIC_WETH,0x679B8Ab80F298bF802fB294137765C6386D43dcA,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,WMATIC,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,80
5,WAULT_WMATIC_USDC,0x8312A29A91D9Fac706F4d2ADEB1FA4540faD1673,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,WMATIC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,100
6,WAULT_USDC_WETH,0xd928Ce1d0F2642e44615768761C0F00c23E0d588,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,100
7,WAULT_WBTC_WETH,0x30AdBCAb9Fbb4436109fcf3058D1Af27E6E33F3F,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6,WBTC,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,40
8,WAULT_WBTC_USDC,0x30eEf213D4B9C809f5776Ae56cC39f02f19F742f,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6,WBTC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,80
9,WAULT_USDC_USDT,0x7242e19A0937ac33472febD69462668a4cf5bbC5,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,USDT,60
10,WAULT_USDC_DAI,0x8E5c5AE2542116b5715b12bb2d391A770a607075,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,DAI,15
11,WAULT_WETH_DAI,0xaEF35d720C56eF3c259BCCdB6931F331c7f15b3F,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,DAI,30
12,WAULT_WETH_AAVE,0x58401db5eD194cBA60f2b7D59b9619D54e0B493c,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0xD6DF932A45C0f255f85145f286eA0b292B21C90B,AAVE,10
13,WAULT_LINK_WETH,0x70bF5ffCC6090A8D243FD05485Ec4c084BD10Ae5,0x53E0bca35eC356BD5ddDFebbD1Fc0fD03FaBad39,LINK,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,10
14,WAULT_SNX_WETH,0x2857Ec555c1E4fA20982AcBf985b8b8807157A5B,0x50B728D8D964fd00C2d0AAD81718b71311feF68a,SNX,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,10
15,WAULT_WMATIC_PAUTO,0x16d1853AD3f3Ce542eBDDa631D6493d90ec25791,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,WMATIC,0x7f426F6Dc648e50464a0392E60E1BB465a67E9cf,PAUTO,8
16,WAULT_WMATIC_BIFI,0xE60afed80406190C3AB2C17501d417097Dd741DB,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,WMATIC,0xFbdd194376de19a88118e84E279b977f165d01b8,BIFI,8
17,WAULT_WMATIC_ELE,0xFd5D691EE53982fb96B56a1f3fE0ee0ca0Fd9218,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,WMATIC,0xAcD7B3D9c10e97d0efA418903C0c7669E702E4C0,ELE,8
18,WAULT_WMATIC_PolyDoge,0x1a881D021d346C5433B2cf8FB46Ee00Dec89070d,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,WMATIC,0x8A953CfE442c5E8855cc6c61b1293FA648BAE472,PolyDoge,8
19,WAULT_WMATIC_WAULTx,0xae74c0aB6f76bcf9995784D337ba98e02Eb2dB75,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,WMATIC,0x3053ad3b31600074e9A90440770f78D5e8Fc5A54,WAULTx,17
20,WAULT_WMATIC_FISH,0x44825bf3B74695bD72ED247D62DD755e67B7ED87,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,WMATIC,0x3a3Df212b7AA91Aa0402B9035b098891d276572B,FISH,8
21,WAULT_WMATIC_USDT,0xf7bC741b2086Ca344e78225D06224ffDCd86D110,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,WMATIC,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,USDT,30
22,WAULT_WMATIC_ADDY,0x48063376EAC95806A59eE00B901b6104dA960B98,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,WMATIC,0xc3FdbadC7c795EF1D6Ba111e06fF8F16A20Ea539,ADDY,8
23,WAULT_USDC_HONOR,0x4Bd5dF4300b7c5309cB1A0143e4A6d0184B878e1,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,0xb82A20B4522680951F11c94c54B8800c1C237693,HONOR,10
